59 Commercial Wharf APT 5, Boston, MA, 02110 , 1 bed / 1.5 baths / 1,172 sqft , $985,000
65 E India Row APT 23B, Boston, MA, 02110 , 2 beds / 3 baths / 1,630 sqft , $1,199,000
80 Broad St UNIT 308, Boston, MA, 02110 , 1 bed / 1 bath / 708 sqft , $560,000
65 E India Row # 30FG, Boston, MA, 02110 , 3 beds / 5 baths / 2,854 sqft , $1,999,000
80 Broad St # 2110, Boston, MA, 02110 , 1 bed / 1 bath / 836 sqft , $659,000
289 Devonshire St FL 5, Boston, MA, 02110 , 1 bed / 2 baths / 1,564 sqft , $1,125,000
E India Row, Boston, MA, 02110 , 2 beds / 2 baths / 1,200 sqft , $3,500/mo
65 E India Row APT 27H, Boston, MA, 02110 , 1 bed / 1 bath / 875 sqft , $635,000
Arch St, Boston, MA, 02110 , Studio, 1 bath / 400 sqft , $1,950/mo
Pearl St, Boston, MA, 02110 , 2 beds / 1 bath , $3,850/mo
Arch St, Boston, MA, 02110 , 1 bed / 1 bath / 425 sqft , $2,100/mo
Broad St, Boston, MA, 02110 , 2 beds / 2 baths / 1,282 sqft , $4,000/mo
E India Row, Boston, MA, 02110 , 2 beds / 2 baths / 1,640 sqft , $5,600/mo
Arch St, Boston, MA, 02110 , Studio, 1 bath / 550 sqft , $2,050/mo
Arch St, Boston, MA, 02110 , Studio, 1 bath / 350 sqft , $1,850/mo
Arch St, Boston, MA, 02110 , Studio, 1 bath / 540 sqft , $1,750/mo
Pearl St, Boston, MA, 02110 , 2 beds / 2.5 baths , $3,775/mo
65 Commercial Wharf APT 1, Boston, MA, 02110 , 3 beds / 2 baths / 1,943 sqft , $2,550,000
85 E India Row APT 10G, Boston, MA, 02110 , 2 beds / 2 baths / 1,215 sqft , $950,000
E India Row, Boston, MA, 02110 , 2 beds / 2.5 baths / 1,632 sqft , $4,000/mo
Essex St, Boston, MA, 02111 , 1 bed / 1 bath , $1,750/mo
1 Nassau St UNIT 2206, Boston, MA, 02111 , 2 beds / 2.5 baths / 1,805 sqft , $1,699,000
170 Tremont St APT 1804, Boston, MA, 02111 , 2 beds / 2 baths / 1,171 sqft , $1,074,000
2 Avery St APT 35A, Boston, MA, 02111 , 1 bed / 1.5 baths / 803 sqft , $1,250,000
1 Avery St APT 22A, Boston, MA, 02111 , 3 beds / 3.5 baths / 2,242 sqft , $2,379,000
151 Tremont St, Boston, MA, 02111 , Studio, 1 bath / 590 sqft , $2,400/mo
151 Tremont St APT 10C, Boston, MA, 02111 , 1 bed / 1.5 baths / 735 sqft , $539,000
51 Beach St, Boston, MA, 02111 , 1 bed / 1 bath , $2,650/mo
151 Tremont St APT 8U, Boston, MA, 02111 , 1 bed / 1 bath / 740 sqft , $2,800/mo
40-42 Beach St UNIT 5C, Boston, MA, 02111 , 1 bed / 1 bath / 756 sqft , $2,600/mo
Tyler St, Boston, MA, 02111 , 1 bed / 1 bath , $1,795/mo
Washington St, Boston, MA, 02111 , 1 bed / 1 bath / 715 sqft , $3,395/mo
9 Harrison Ave, Boston, MA, 02111 , 1 bed / 1 bath / 510 sqft , $2,200/mo
371 Hanover St APT 2, Boston, MA, 02113 , 1 bed / 1 bath / 680 sqft , $499,000
177 Endicott St APT 2, Boston, MA, 02113 , 2 beds / 1 bath / 715 sqft , $549,900
7 Stillman Pl UNIT 10, BOSTON, MA, 02113 , 2 beds / 1 bath / 746 sqft , $3,000/mo
Stillman St, Boston, MA, 02113 , 1 bed / 1 bath / 600 sqft , $2,850/mo
46 Lewis St APT 7, Boston, MA, 02113 , 1 bed / 1 bath / 407 sqft , $389,900
160 Salem St, Boston, MA, 02113 , 3 beds / 2 baths / 1,512 sqft , $895,500
5 Fleet St # 1, Boston, MA, 02113 , 1 bed / 1 bath , $1,625/mo
22 Moon St, Boston, MA, 02113 , 2 beds / 1 bath / 4,658 sqft , $2,550,000
92 Endicott St APT 2, Boston, MA, 02113 , 3 beds / 1 bath / 800 sqft , $4,000/mo
N Washington St, Boston, MA, 02113 , 3 beds / 2 baths / 2,215 sqft , $5,400/mo
371 Hanover St APT 3, Boston, MA, 02113 , 1 bed / 1 bath / 680 sqft , $500,000
343 North St # 12, Boston, MA, 02113 , Studio, 1 bath , $1,750/mo
16 Charter St # 6, Boston, MA, 02113 , Studio, 1 bath , $1,650/mo
Charter St, Boston, MA, 02113 , 1 bed / 1 bath , $1,650/mo
419 Hanover St APT 7, Boston, MA, 02113 , 2 beds / 1 bath / 700 sqft , $2,850/mo
2 Baldwin Pl # 4L, Boston, MA, 02113 , 1 bed / 1 bath / 600 sqft , $1,950/mo
Charter St, Boston, MA, 02113 , 1 bed / 1 bath , $1,650/mo
163 Endicott St APT 2, Boston, MA, 02113 , 2 beds / 1 bath / 950 sqft , $3,100/mo
20 Parmenter St, Boston, MA, 02113 , 2 beds / 2 baths / 1,344 sqft , $3,800/mo
33 Sheafe St APT 3, Boston, MA, 02113 , 1 bed / 1 bath , $1,600/mo
35 Mount Vernon St UNIT 4, Boston, MA, 02108 , 1 bed / 1 bath / 709 sqft , $599,000
36 Myrtle St APT 7, Boston, MA, 02114 , 2 beds / 1 bath / 657 sqft , $539,000
11 Irving St APT 6, Boston, MA, 02114 , 1 bed / 1 bath / 426 sqft , $2,300/mo
10 Bowdoin St UNIT 314, Boston, MA, 02114 , 1 bed / 1 bath / 766 sqft , $695,000
45 Myrtle St, Boston, MA, 02114 , 2 beds / 1 bath / 864 sqft , $3,200/mo
Bowdoin St, Boston, MA, 02114 , 1 bed / 1 bath , $2,300/mo
N Anderson St, Boston, MA, 02114 , Studio, 1 bath , $1,600/mo
Bowdoin St, Boston, MA, 02114 , 1 bed / 1 bath , $2,600/mo
94 Charles St # 5J, Boston, MA, 02114 , 1 bed / 1 bath , $3,500/mo
Anderson St, Boston, MA, 02114 , 1 bed / 1 bath , $1,900/mo
7 Staniford St # 8E, Boston, MA, 02114 , Studio, 1 bath / 610 sqft , $1,850/mo
9 Grove St APT 2, Boston, MA, 02114 , 3 beds / 2 baths , $3,660/mo
41 N Anderson St # 22, Boston, MA, 02114 , Studio, 1 bath , $1,650/mo
Saint Botolph St, Boston, MA, 02115 , 1 bed / 1 bath / 700 sqft , $1,750/mo
297 Commonwealth Ave APT 3, Boston, MA, 02115 , 2 beds / 2.5 baths / 3,080 sqft , $4,750,000
341 Marlborough St APT 2, Boston, MA, 02115 , 3 beds / 3.5 baths / 2,860 sqft , $4,775,000
Saint Botolph St, Boston, MA, 02115 , Studio, 1 bath , $1,775/mo
6 Gloucester St APT 3, Boston, MA, 02115 , 1 bed / 1 bath / 830 sqft , $629,000
Blackwood St, Boston, MA, 02115 , 1 bed / 1 bath , $1,675/mo
Commonwealth Ave, Boston, MA, 02115 , Studio, 1 bath , $1,575/mo
Riverway, Boston, MA, 02115 , 3 beds / 1 bath / 1,307 sqft , $2,800/mo
409 Marlborough St APT 36, Boston, MA, 02115 , Studio, 1 bath , $1,550/mo
294 Newbury St UNIT 2B, Boston, MA, 02115 , 2 beds / 2 baths / 1,539 sqft , $7,150/mo
Cumberland St, Boston, MA, 02115 , Studio, 1 bath , $2,100/mo
109 Saint Stephen St # B25, Boston, MA, 02115 , 3 beds / 1 bath , $3,100/mo
Symphony Rd, Boston, MA, 02115 , 3 beds / 1 bath , $3,900/mo
Fenway, Boston, MA, 02115 , 2 beds / 1 bath , $3,100/mo
Huntington Ave, Boston, MA, 02115 , Studio, 1 bath , $1,800/mo
Hemenway St, Boston, MA, 02115 , 3 beds / 1 bath , $4,000/mo
Fenway, Boston, MA, 02115 , 4 beds / 1 bath , $5,200/mo
135 Clarendon St, Boston, MA, 02116 , 2 beds / 2 baths , $6,160/mo
160 Commonwealth Ave # 402, Boston, MA, 02116 , 2 beds / 2.5 baths / 1,624 sqft , $1,999,000
18 Piedmont St # 1, Boston, MA, 02116 , 2 beds / 2 baths / 2,100 sqft , $6,500/mo
30 Fayette St # 1, Boston, MA, 02116 , Studio, 1 bath / 575 sqft , $1,900/mo
1 Marlborough St APT 4, Boston, MA, 02116 , 2 beds / 2 baths / 1,225 sqft , $6,700/mo
9 Harcourt St APT 302, Boston, MA, 02116 , 2 beds / 2 baths / 1,081 sqft , $1,089,000
123 Commonwealth Ave APT 5, Boston, MA, 02116 , Studio, 1 bath / 450 sqft , $2,150/mo
142 Marlborough St # 1, Boston, MA, 02116 , 1 bed / 1 bath / 900 sqft , $3,500/mo
50 Commonwealth Ave APT 701, Boston, MA, 02116 , 2 beds / 2 baths / 1,250 sqft , $4,800/mo
Huntington Ave, Boston, MA, 02116 , 1 bed / 1.5 baths / 900 sqft , $4,500/mo
285 Columbus Ave UNIT 602, Boston, MA, 02116 , 2 beds / 2 baths / 1,131 sqft , $995,000
1 Charles St S UNIT PH103, Boston, MA, 02116 , 2 beds / 3 baths / 1,866 sqft , $3,195,000
257 Commonwealth Ave APT 2, Boston, MA, 02116 , 2 beds / 2 baths / 1,425 sqft , $4,500/mo
136 Beacon St APT 9, Boston, MA, 02116 , 3 beds / 2 baths / 2,210 sqft , $2,775,000
W Newton St, Boston, MA, 02116 , 1 bed / 1 bath , $2,100/mo
114 Union Park St # 3, Boston, MA, 02118 , 2 beds / 1 bath / 1,000 sqft , $2,700/mo
83 W Brookline St # 1, Boston, MA, 02118 , 2 beds / 1.5 baths / 1,135 sqft , $3,200/mo
682 Tremont St # 3, Boston, MA, 02118 , 2 beds / 1 bath / 785 sqft , $724,000
5 Rutland Sq, Boston, MA, 02118 , 4 beds / 4 baths / 4,250 sqft , $3,300,000
Columbus Ave, Boston, MA, 02118 , 2 beds / 1 bath , $3,050/mo
748 Tremont St APT 3, Boston, MA, 02118 , 1 bed / 1 bath / 890 sqft , $595,000
66 Waltham St APT 44, Boston, MA, 02118 , 2 beds / 1 bath / 943 sqft , $725,000
38 Upton St # 4, Boston, MA, 02118 , 3 beds / 2.5 baths / 1,784 sqft , $1,995,000
81 E Brookline St APT 1, Boston, MA, 02118 , 1 bed / 1 bath / 469 sqft , $1,600/mo
25 E Springfield St UNIT 3, Roxbury, MA, 02118 , 2 beds / 2 baths / 1,300 sqft , $895,000
474 Shawmut Ave APT 2, Boston, MA, 02118 , 2 beds / 1 bath / 873 sqft , $649,000
45 Bradford St # 45, Boston, MA, 02118 , 3 beds / 3 baths / 1,750 sqft , $1,575,000
1750-1752 Washington St UNIT 4, BOSTON, MA, 02118 , 2 beds / 1 bath / 700 sqft , $2,450/mo
34 Plympton St, Boston, MA, 02118 , 7 beds / 4 baths / 6,200 sqft , $2,300,000
254 Shawmut Ave # 254, Boston, MA, 02118 , 4 beds / 3 baths / 3,100 sqft , $2,995,000
182 W Brookline St APT 1, Boston, MA, 02118 , 3 beds / 2 baths / 1,600 sqft , $3,275/mo
E Berkeley St, Boston, MA, 02118 , 2 beds / 1 bath , $2,850/mo
3003 Washington St APT 2, Boston, MA, 02119 , 1 bed / 1 bath , $1,400/mo
Centre St, Boston, MA, 02119 , 3 beds / 1 bath , $2,300/mo
Kenilworth St, Boston, MA, 02119 , 2 beds / 1 bath , $1,600/mo
Marcella St, Boston, MA, 02119 , 1 bed / 1 bath / 1,200 sqft , $1,350/mo
Centre St, Boston, MA, 02119 , 1 bed / 2 baths / 730 sqft , $1,950/mo
Centre St, Boston, MA, 02119 , 2 beds / 2 baths / 1,030 sqft , $2,750/mo
Centre St, Boston, MA, 02119 , 3 beds / 2 baths / 1,230 sqft , $3,175/mo
Lambert St, Boston Fort Hill, MA, 02119 , 4 beds / 1 bath , $2,400/mo
Washington St, Roxbury, MA, 02119 , 1 bed / 1 bath , $1,400/mo
42 Dennis St, ROXBURY, MA, 02119 ,  , $89,000
20 Walnut Park UNIT 2, Roxbury, MA, 02119 , 3 beds / 2 baths / 1,481 sqft , $339,000
Marcella St, Roxbury, MA, 02119 , 1 bed / 1 bath , $1,350/mo
Washington St, Roxbury, MA, 02119 , 1 bed / 1 bath / 600 sqft , $1,600/mo
44 Alleghany St # 1F, Boston, MA, 02120 , 6 beds / 2 baths , $5,600/mo
993 Tremont St APT 3, Roxbury Crossing, MA, 02120 , 1 bed / 1 bath / 674 sqft , $246,841
154 Fisher Ave UNIT A, Roxbury Crossing, MA, 02120 , 1 bed / 1 bath / 1,060 sqft , $315,000
Calumet St, Roxbury Crossing, MA, 02120 , 3 beds / 1 bath , $2,800/mo
Sewall St, Boston, MA, 02120 , 6 beds / 4 baths / 2,800 sqft , $6,000/mo
Parker Hill Ave, Roxbury Crossing, MA, 02120 , 4 beds / 2 baths , $4,600/mo
Hillside St, Roxbury Crossing, MA, 02120 , 2 beds / 1 bath , $2,500/mo
Hillside St, Roxbury Crossing, MA, 02120 , 3 beds / 1 bath / 1,000 sqft , $3,600/mo
43 Elmont St, Dorchester, MA, 02121 , 4 beds / 2 baths / 2,661 sqft ,from $100K
42-44 Hutchings St UNIT 1, BOSTON, MA, 02121 , 3 beds / 1 bath / 1,394 sqft , $149,800
63 Oldfields Rd, Dorchester, MA, 02121 , 6 beds / 3 baths / 2,820 sqft , $385,000
5-7 Weldon St, Dorchester, MA, 02121 , 6 beds / 2 baths / 2,900 sqft , $359,900
126 Greenwood St, Dorchester, MA, 02121 , 9 beds / 3 baths / 3,492 sqft , $459,000
120 Greenwood St, Dorchester, MA, 02121 , 6 beds / 3 baths / 3,789 sqft , $519,999
23 Gaston St, Dorchester, MA, 02121 , 8 beds / 3 baths / 3,345 sqft , $375,000
Fowler St, Dorchester, MA, 02121 , 2 beds / 1 bath / 3,960 sqft , $1,400/mo
Ruthven St, Dorchester, MA, 02121 , 3 beds / 1 bath , $1,750/mo
45 Bullard St, Dorchester, MA, 02121 , 9 beds / 3 baths / 4,601 sqft , $429,000
39 Howland St # 1, Dorchester, MA, 02121 , 2 beds / 1 bath / 1,350 sqft , $1,700/mo
24 Holborn St # 1A, Dorchester, MA, 02121 , 3 beds / 1 bath / 1,200 sqft , $204,900
44 Quincy St APT 1, Dorchester, MA, 02121 , 4 beds / 1 bath / 1,563 sqft , $1,700/mo
30 Wolcott St, Dorchester, MA, 02121 , 8 beds / 4 baths / 3,633 sqft , $549,000
Elm Hill Ave, Boston, MA, 02121 , 2 beds / 2 baths / 1,465 sqft , $1,750/mo
Howland St, Boston, MA, 02121 , 5 beds / 1 bath , $2,200/mo
63 Oldfields Rd, Boston, MA, 02121 , 6 beds / 3 baths / 2,820 sqft , $385,000
Homestead St, Dorchester, MA, 02121 , 3 beds / 1 bath , $2,100/mo
10 Intervale St, Dorchester, MA, 02121 , 7 beds / 3 baths / 3,600 sqft , $529,000
79 Ellington St # 3, Boston, MA, 02121 , 3 beds / 1 bath / 1,000 sqft , $1,800/mo
Elm Hill Ave, Dorchester, MA, 02121 , 3 beds / 2 baths , $2,000/mo
122 Homestead St # 1, Boston, MA, 02121 , 4 beds / 1 bath / 1,450 sqft , $2,000/mo
70 Brookledge St, Dorchester, MA, 02121 , 6 beds / 3.5 baths / 3,449 sqft , $599,000
207 Quincy St, Dorchester, MA, 02121 , 8 beds / 3 baths / 3,329 sqft , $449,000
79 Topliff St, Dorchester, MA, 02122 , 11 beds / 3 baths / 3,885 sqft , $509,000
29 Chelmsford St UNIT 2, Dorchester, MA, 02122 , 2 beds / 1 bath / 985 sqft , $319,000
27 Mount Ida Rd, Dorchester, MA, 02122 , 6 beds / 3 baths / 3,303 sqft , $479,000
15-17 Woodfield St, BOSTON, MA, 02122 , 6 beds / 3 baths / 2,288 sqft , $735,000
33 King St UNIT 2, Dorchester, MA, 02122 , 2 beds / 1 bath / 927 sqft , $239,000
Draper St, Dorchester, MA, 02122 , 5 beds / 1.5 baths , $2,250/mo
15 Mount Ida Rd # 3, Boston, MA, 02122 , 3 beds / 1 bath / 1,250 sqft , $1,800/mo
10 Tolman St # 3, Dorchester, MA, 02122 , 1 bed / 1 bath / 650 sqft , $1,550/mo
20 Mckone St # 1, Dorchester, MA, 02122 , 2 beds / 1 bath / 802 sqft , $289,000
82 Homes Ave # 2, Dorchester, MA, 02122 , 2 beds / 1 bath , $1,600/mo
Mill St, Dorchester, MA, 02122 , 2 beds / 1 bath , $1,800/mo
Victory Rd, Boston, MA, 02122 , 4 beds / 2 baths / 1,900 sqft , $3,000/mo
0 Queen St # 1, Boston, MA, 02122 , 2 beds / 1 bath / 1,200 sqft , $2,000/mo
135 Draper St # 1, Dorchester, MA, 02122 , 5 beds / 1 bath , $2,250/mo
68 Percival St # 3, Boston, MA, 02122 , 3 beds / 1 bath / 1,100 sqft , $1,650/mo
38 Dix St UNIT 1, Dorchester, MA, 02122 , 3 beds / 3 baths / 1,900 sqft , $500,000
37 Daly St # 1, Boston, MA, 02122 , 2 beds / 1 bath / 900 sqft , $1,800/mo
45 Coffey St # 4, Boston, MA, 02122 , 2 beds / 2 baths / 1,275 sqft , $469,000
40-12 Victory Rd # 2, Boston, MA, 02122 , 5 beds / 2 baths / 1,800 sqft , $2,950/mo
27 Flavia St # 2, Boston, MA, 02122 , 2 beds / 1 bath / 99,999 sqft , $1,650/mo
135 Neponset Ave APT 46, Dorchester, MA, 02122 , 2 beds / 1 bath / 737 sqft , $215,000
183-185A Massachusetts Ave UNIT 402, BOSTON, MA, 02115 , 1 bed / 1 bath / 983 sqft , $850,000
56 Van Winkle St UNIT 56, Dorchester Center, MA, 02124 , 2 beds / 2.5 baths / 1,242 sqft , $299,000
113 Evans St, Dorchester Center, MA, 02124 , 4 beds / 2 baths / 1,800 sqft , $279,900
16 Elwyn Rd, Dorchester Center, MA, 02124 , 9 beds / 3 baths / 3,046 sqft , $519,000
22 Branchfield St APT D4, Dorchester Center, MA, 02124 , 2 beds / 1 bath / 877 sqft , $199,900
60 Senator Bolling Cir, Boston, MA, 02124 , 3 beds / 3 baths / 2,180 sqft , $449,900
8 Silloway St, Dorchester Center, MA, 02124 , 5 beds / 3 baths / 3,482 sqft , $559,000
174-176 Wilmington Ave, BOSTON, MA, 02124 , 5 beds / 2 baths / 2,236 sqft , $412,000
9 Standish St, Dorchester Center, MA, 02124 , 4 beds / 3 baths / 2,604 sqft , $327,000
22-24 Hannon St, BOSTON, MA, 02124 , Studio, 4 baths / 3,728 sqft , $539,900
41 Burt St, Dorchester Center, MA, 02124 , 5 beds / 1.1 baths / 1,714 sqft , $300,000
36 Msgr Patrick J Lydon Way UNIT 3, Dorchester Center, MA, 02124 , 2 beds / 1 bath / 930 sqft , $210,000
11 Gaylord St UNIT 3, Dorchester Center, MA, 02124 , 3 beds / 1 bath / 1,414 sqft , $149,000
14 Snowden Way, Boston, MA, 02124 , 4 beds / 3 baths / 2,340 sqft , $489,900
13 Torrey St, Boston, MA, 02124 , 4 beds / 2 baths / 1,380 sqft , $287,900
Bernard St, Boston, MA, 02124 , 2 beds / 1 bath / 650 sqft , $1,200/mo
113 Lonsdale St # 1, Dorchester Center, MA, 02124 , 3 beds / 1 bath / 1,170 sqft , $269,900
52 Mascot St APT 5, Dorchester, MA, 02124 , 2 beds / 1 bath , $1,425/mo
27 Floyd St, Dorchester Center, MA, 02124 , 6 beds / 2 baths / 4,054 sqft , $437,900
Argyle St, Boston, MA, 02124 , 3 beds / 1 bath , $1,750/mo
Angell St, Dorchester, MA, 02124 , 3 beds / 1.5 baths , $1,850/mo
15 Wainwright St # 2, Boston, MA, 02124 , 3 beds / 2.5 baths / 1,100 sqft , $1,800/mo
9 Bailey St # 1, Dorchester Center, MA, 02124 , 4 beds / 1.5 baths / 1,200 sqft , $2,400/mo
102 Msgr Patrick J Lydon Way, Dorchester Center, MA, 02124 , 2 beds / 1 bath / 1,636 sqft , $1,350/mo
49 Lenoxdale Ave UNIT 1, Dorchester Center, MA, 02124 , 2 beds / 1 bath / 985 sqft , $315,000
36 Sudan St # 1F, Dorchester, MA, 02125 , 3 beds / 2 baths , $2,500/mo
29 Glendale St, Dorchester, MA, 02125 , 12 beds / 3 baths / 3,816 sqft , $599,000
13 Hamilton St, Dorchester, MA, 02125 , 3 beds / 1 bath / 2,047 sqft , $329,999
Mount Vernon St, Dorchester, MA, 02125 , 3 beds / 2 baths , $3,000/mo
26 Elder St UNIT 3, Dorchester, MA, 02125 , 2 beds / 1 bath / 1,131 sqft , $1,600/mo
40 Wayland St, Dorchester, MA, 02125 , 9 beds / 3 baths / 4,293 sqft , $509,900
Howard Ave, Boston, MA, 02125 , 3 beds / 1 bath , $1,800/mo
Thornley St, Boston, MA, 02125 , 5 beds / 2 baths / 3,078 sqft , $3,200/mo
Mount Vernon St, Boston, MA, 02125 , 2 beds / 2 baths / 1,010 sqft , $2,900/mo
Mount Vernon St, Boston, MA, 02125 , 1 bed / 1 bath / 950 sqft , $2,500/mo
Mount Vernon St, Boston, MA, 02125 , 2 beds / 2 baths / 1,055 sqft , $2,850/mo
E Cottage St, Dorchester, MA, 02125 , 2 beds / 1 bath , $2,000/mo
19 Dewolf St # 2, Boston, MA, 02125 , 4 beds / 1 bath / 1,250 sqft , $1,850/mo
400 Savin Hill Ave APT 9, Dorchester, MA, 02125 , 2 beds / 1 bath / 815 sqft , $1,850/mo
253 E Cottage St UNIT 1, Dorchester, MA, 02125 , 2 beds / 1 bath / 1,063 sqft , $2,100/mo
157 E Cottage St, Dorchester, MA, 02125 , 4 beds / 2 baths / 3,888 sqft , $2,300/mo
Bayside St, Boston, MA, 02125 , 2 beds / 1 bath / 1,000 sqft , $1,650/mo
Mount Vernon St, Dorchester, MA, 02125 , 2 beds / 2.5 baths , $4,000/mo
57 Bakersfield St # 3, Dorchester, MA, 02125 , 2 beds / 1 bath / 99,999 sqft , $1,400/mo
608 Dorchester Ave # S, Boston, MA, 02127 , 1 bed / 1 bath / 700 sqft , $212,000
287 Dorchester St APT 1A, Boston, MA, 02127 , 1 bed / 1 bath / 600 sqft , $1,500/mo
42 Vinton St # 3, Boston, MA, 02127 , 2 beds / 2 baths / 800 sqft , $479,000
15 Telegraph St, Boston, MA, 02127 , 4 beds / 1.5 baths / 1,890 sqft , $594,000
125 B St UNIT 2D, South Boston, MA, 02127 , 2 beds / 2 baths / 1,140 sqft , $3,450/mo
137 P St UNIT 2, South Boston, MA, 02127 , 2 beds / 2 baths / 1,000 sqft , $2,800/mo
199 W 8th St, South Boston, MA, 02127 , 5 beds / 3 baths / 2,040 sqft , $599,900
123 Dresser St # 123, Boston, MA, 02127 , 3 beds / 3 baths / 1,964 sqft , $929,000
123 Dresser St, Boston, MA, 02127 , 3 beds / 2.5 baths / 2,000 sqft , $929,000
407 W 1st St # 401, Boston, MA, 02127 , 3 beds / 3 baths / 3,295 sqft , $1,600,000
681-681R E 5th St # 2, Boston, MA, 02127 , 2 beds / 2 baths / 1,000 sqft , $559,000
49 L St # 2, Boston, MA, 02127 , 2 beds / 2 baths / 1,026 sqft , $649,900
1-3 Springer St, Boston, MA, 02127 , 3 beds / 1.5 baths / 1,710 sqft , $799,000
709-709A E Broad Way # 2, Boston, MA, 02127 , 2 beds / 2 baths / 1,060 sqft , $479,000
21 Sanger St UNIT 3, South Boston, MA, 02127 , 2 beds / 1 bath / 924 sqft , $2,600/mo
697 E 8th St, Boston, MA, 02127 , 2 beds / 2 baths / 1,152 sqft , $541,900
697 E 8th St UNIT 2, South Boston, MA, 02127 , 2 beds / 2 baths / 1,152 sqft , $541,900
111 W 8th St APT M, South Boston, MA, 02127 , 3 beds / 2 baths / 920 sqft , $2,800/mo
4 Webb Park # U2, South Boston, MA, 02127 , 2 beds / 2 baths / 886 sqft , $469,000
641-643 E 7th UNIT 1, South Boston, MA, 02127 , 2 beds / 2 baths / 980 sqft , $499,999
1 Prescott St APT 201, Boston, MA, 02128 , 2 beds / 1 bath / 1,050 sqft , $300,000
350 Bremen St # 104, Boston, MA, 02128 , 2 beds / 1 bath / 935 sqft , $1,995/mo
282 Maverick St # U:2, Boston, MA, 02128 , 2 beds / 2 baths / 929 sqft , $429,900
283 Webster St, Boston, MA, 02128 , 5 beds / 3 baths / 2,819 sqft , $849,000
113 Sumner St UNIT 24, Boston, MA, 02128 , 1 bed / 1 bath / 657 sqft , $229,900
